campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2014-12_Geographe-bay_stereo-BRUVs,51,NA,115.4137,-33.4316,Damon,N/A,2014-12-13T10:52:00+08:00,Geographe Bay,Geographe Bay,25.4,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,52,NA,115.2982,-33.4927,Lizzy,N/A,2014-12-09T06:14:00+08:00,Geographe Bay,Geographe Bay,29.7,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,53,NA,115.3565,-33.3582,Hayley,Molly,2014-12-11T09:04:00+08:00,Geographe Bay,Geographe Bay,31.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,54,NA,115.1532,-33.5131,Hayley,Molly,2014-12-09T10:47:00+08:00,Geographe Bay,Geographe Bay,33.1,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,55,NA,115.2801,-33.5709,Hayley,Molly,2014-12-12T09:05:00+08:00,Geographe Bay,Geographe Bay,22.2,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,56,NA,115.2224,-33.4953,Lizzy,N/A,2014-12-09T09:49:00+08:00,Geographe Bay,Geographe Bay,32,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,58,NA,115.3796,-33.5697,Hayley,Molly,2014-12-12T13:02:00+08:00,Geographe Bay,Geographe Bay,13.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,60,NA,115.5049,-33.3626,Hayley,Molly,2014-12-11T09:55:00+08:00,Geographe Bay,Geographe Bay,21.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,61,NA,115.1345,-33.4993,Hayley,Molly,2014-12-09T12:50:00+08:00,Geographe Bay,Geographe Bay,34.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,62,NA,115.3307,-33.4505,Hayley,Molly,2014-12-11T06:24:00+08:00,Geographe Bay,Geographe Bay,29.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,63,NA,115.2562,-33.5039,Hayley,Molly,2014-12-09T06:29:00+08:00,Geographe Bay,Geographe Bay,30,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,64,NA,115.5095,-33.4364,Hayley,Molly,2014-12-11T12:54:00+08:00,Geographe Bay,Geographe Bay,14.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,65,NA,115.2048,-33.3597,Hayley,Molly,2014-12-10T13:15:00+08:00,Geographe Bay,Geographe Bay,39.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,67,NA,115.0859,-33.4783,Hayley,Molly,2014-12-13T10:10:00+08:00,Geographe Bay,Geographe Bay,21.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,68,NA,115.2426,-33.3882,Molly,N/A,2014-12-10T14:07:00+08:00,Geographe Bay,Geographe Bay,38.9,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,69,NA,115.404,-33.3534,Hayley,Molly,2014-12-11T09:23:00+08:00,Geographe Bay,Geographe Bay,28.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,70,NA,115.1514,-33.4159,Hayley,Molly,2014-12-10T10:46:00+08:00,Geographe Bay,Geographe Bay,41,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,71,NA,115.4287,-33.4271,Logan,Molly,2014-12-13T10:58:00+08:00,Geographe Bay,Geographe Bay,24.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,72,NA,115.3224,-33.4625,Hayley,Molly,2014-12-11T06:07:00+08:00,Geographe Bay,Geographe Bay,29.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,73,NA,115.1456,-33.3718,Hayley,Molly,2014-12-10T10:10:00+08:00,Geographe Bay,Geographe Bay,41.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,75,NA,115.2946,-33.5893,Hayley,Molly,2014-12-12T08:52:00+08:00,Geographe Bay,Geographe Bay,16.6,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,76,NA,115.2847,-33.413,Hayley,Molly,2014-12-11T07:01:00+08:00,Geographe Bay,Geographe Bay,35.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,77,NA,115.1029,-33.4558,Hayley,Molly,2014-12-09T13:50:00+08:00,Geographe Bay,Geographe Bay,40.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,78,NA,115.4438,-33.5076,Logan,Molly,2014-12-13T06:18:00+08:00,Geographe Bay,Geographe Bay,13.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,79,NA,115.2309,-33.5874,Hayley,Molly,2014-12-12T08:16:00+08:00,Geographe Bay,Geographe Bay,18.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,80,NA,115.5195,-33.3516,Hayley/Molly,NA,2014-12-11T10:01:00+08:00,Geographe Bay,Geographe Bay,20.7,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,81,NA,115.2305,-33.3788,Hayley,Molly,2014-12-10T14:18:00+08:00,Geographe Bay,Geographe Bay,38.9,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,82,NA,115.1103,-33.3955,Hayley,Molly,2014-12-10T07:49:00+08:00,Geographe Bay,Geographe Bay,42.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,83,NA,115.3791,-33.4694,Logan,Molly,2014-12-13T10:26:00+08:00,Geographe Bay,Geographe Bay,24.6,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,84,NA,115.1924,-33.3965,Hayley,Molly,2014-12-10T11:28:00+08:00,Geographe Bay,Geographe Bay,41,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,86,NA,115.1785,-33.5405,Hayley,Molly,2014-12-09T07:24:00+08:00,Geographe Bay,Geographe Bay,28.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,87,NA,115.4589,-33.4896,Hayley,Molly,2014-12-13T07:49:00+08:00,Geographe Bay,Geographe Bay,13,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,88,NA,115.2145,-33.5011,Hayley,Molly,2014-12-09T09:45:00+08:00,Geographe Bay,Geographe Bay,31.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,89,NA,115.0564,-33.3828,Molly,Molly,2014-12-10T06:58:00+08:00,Geographe Bay,Geographe Bay,43.9,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,90,NA,115.3225,-33.5333,Hayley,Molly,2014-12-12T10:53:00+08:00,Geographe Bay,Geographe Bay,22,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,91,NA,115.2061,-33.5396,Hayley,Molly,2014-12-09T06:54:00+08:00,Geographe Bay,Geographe Bay,29.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,92,NA,115.315,-33.4176,Hayley,Molly,2014-12-11T06:43:00+08:00,Geographe Bay,Geographe Bay,33,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,93,NA,115.1528,-33.4813,Laura,N/A,2014-12-09T12:59:00+08:00,Geographe Bay,Geographe Bay,36,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,95,NA,115.3155,-33.5175,Hayley,Molly,2014-12-12T10:42:00+08:00,Geographe Bay,Geographe Bay,24.9,Yes,Yes,NA,NA,NA,NA
