"campaignid","sample","latitude_dd","longitude_dd","location","site","depth_m","observer_count","successful_count","successful_length","status","observer_length","date_time"
"2014-12_Geographe.Bay_stereoBRUVs","115",-33.4446,115.4065,"Geographe Bay","Geographe Bay",25.2,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T10:46:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","116",-33.4982,115.2864,"Geographe Bay","Geographe Bay",29.7,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T06:20:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","119",-33.4388,115.5567,"Geographe Bay","Geographe Bay",5.2,"Curtin","Yes","No","Fished","Unknown","2014-12-14T11:25:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","122",-33.5375,115.4021,"Geographe Bay","Geographe Bay",13.3,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T05:48:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","135",-33.5019,115.4207,"Geographe Bay","Geographe Bay",15.8,"Logan","Yes","Yes","Fished","Unknown","2014-12-16T12:54:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","138",-33.5808,115.1139,"Geographe Bay","Geographe Bay",15,"Unknown","Yes","Yes","Fished","Unknown","2014-12-15T06:50:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","139",-33.6033,115.2737,"Geographe Bay","Geographe Bay",13.4,"Daphne","Yes","Yes","Fished","Unknown","2014-12-17T08:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","143",-33.5762,115.2367,"Geographe Bay","Geographe Bay",23.2,"Logan","Yes","Yes","Fished","Unknown","2014-12-15T13:24:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","144",-33.5342,115.4323,"Geographe Bay","Geographe Bay",12.3,"Unknown","Yes","Yes","Fished","Unknown","2014-12-16T15:37:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","151",-33.4768,115.4329,"Geographe Bay","Geographe Bay",17.2,"Daphne","Yes","Yes","Fished","Unknown","2014-12-16T09:12:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","154",-33.6034,115.1968,"Geographe Bay","Geographe Bay",13.6,"Unknown","Yes","Yes","Fished","Unknown","2014-12-15T10:58:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","160",-33.6034,115.2478,"Geographe Bay","Geographe Bay",0,"Logan","Yes","No","Fished","Unknown","2014-12-16T15:24:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","167",-33.4627,115.4806,"Geographe Bay","Geographe Bay",14.4,"Logan","Yes","Yes","Fished","Unknown","2014-12-16T09:25:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","170",-33.5417,115.3698,"Geographe Bay","Geographe Bay",15.8,"Logan","Yes","No","No-take","Unknown","2014-12-16T13:39:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","175",-33.5518,115.1228,"Geographe Bay","Geographe Bay",28.5,"Curtin","Yes","No","Fished","Unknown","2014-12-15T06:34:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","183",-33.5688,115.2488,"Geographe Bay","Geographe Bay",22.6,"Logan","Yes","Yes","Fished","Unknown","2014-12-15T13:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","192",-33.4273,115.5756,"Geographe Bay","Geographe Bay",4.9,"Curtin","Yes","Yes","Fished","Unknown","2014-12-14T11:19:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","196",-33.5098,115.4045,"Geographe Bay","Geographe Bay",15.9,"Logan","Yes","Yes","Fished","Unknown","2014-12-16T12:49:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","199",-33.5975,115.2109,"Geographe Bay","Geographe Bay",15.2,"Curtin","Yes","No","Fished","Unknown","2014-12-15T10:53:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","202",-33.5779,115.4117,"Geographe Bay","Geographe Bay",9.8,"Unknown","Yes","Yes","No-take","Unknown","2014-12-17T06:04:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","207",-33.5738,115.2317,"Geographe Bay","Geographe Bay",23.3,"Hayley","Yes","Yes","Fished","Unknown","2014-12-12T08:06:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","208",-33.3873,115.5742,"Geographe Bay","Geographe Bay",7.2,"Curtin","Yes","Yes","Fished","Unknown","2014-12-14T11:03:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","215",-33.6066,115.2241,"Geographe Bay","Geographe Bay",14.1,"Curtin","Yes","No","Fished","Unknown","2014-12-15T10:45:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","218",-33.5955,115.3031,"Geographe Bay","Geographe Bay",14.7,"Curtin","Yes","Yes","Fished","Unknown","2014-12-17T09:46:00+08:00"
