"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","state.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs","60",-33.3626,115.5049,"2014-12-11","09:55:00","Geographe Bay","Geographe Bay","21.5","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","61",-33.4993,115.1345,"2014-12-09","12:50:00","Geographe Bay","Geographe Bay","34.8","Hayley","Yes","Yes",NA,"1","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","62",-33.4505,115.3307,"2014-12-11","06:24:00","Geographe Bay","Geographe Bay","29.3","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","63",-33.5039,115.2562,"2014-12-09","06:29:00","Geographe Bay","Geographe Bay","30","Hayley","Yes","Yes",NA,"2","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","64",-33.4364,115.5095,"2014-12-11","12:54:00","Geographe Bay","Geographe Bay","14.2","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","65",-33.3597,115.2048,"2014-12-10","13:15:00","Geographe Bay","Geographe Bay","39.4","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","67",-33.4783,115.0859,"2014-12-13","10:10:00","Geographe Bay","Geographe Bay","21.4","Hayley","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","68",-33.3882,115.2426,"41983","0.588194444","Geographe Bay","Geographe Bay","38.9","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","69",-33.3534,115.404,"2014-12-11","09:23:00","Geographe Bay","Geographe Bay","28.7","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","70",-33.4159,115.1514,"2014-12-10","10:46:00","Geographe Bay","Geographe Bay","41","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","71",-33.4271,115.4287,"2014-12-13","10:58:00","Geographe Bay","Geographe Bay","24.4","Logan","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","72",-33.4625,115.3224,"2014-12-11","06:07:00","Geographe Bay","Geographe Bay","29.4","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","73",-33.3718,115.1456,"2014-12-10","10:10:00","Geographe Bay","Geographe Bay","41.5","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","75",-33.5893,115.2946,"2014-12-12","08:52:00","Geographe Bay","Geographe Bay","16.6","Hayley","Yes","No",NA,"2","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","76",-33.413,115.2847,"2014-12-11","07:01:00","Geographe Bay","Geographe Bay","35.2","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","77",-33.4558,115.1029,"2014-12-09","13:50:00","Geographe Bay","Geographe Bay","40.8","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","78",-33.5076,115.4438,"2014-12-13","06:18:00","Geographe Bay","Geographe Bay","13.4","Logan","Yes","Yes",NA,"4","Multiple Use Zone",NA,"Fished"
